goodBet,betStrength,oddsCalculated,oddsSkyBet,time,title
True,1.063575418994413,1.2088604745396427,1.2857142857142856,16:00,Newcastle vs Wolves
True,1.048732189502872,1.225970079476391,1.2857142857142856,13:30,Dundee vs Rangers
True,1.1633331426646583,1.2416429924242425,1.4444444444444444,11:00,Eibar vs Levante
True,1.0824615517352947,1.3857305117168819,1.5,15:15,Huesca vs Real Madrid
False,0.9903041211730145,1.2983024691358025,1.2857142857142856,17:30,Real Sociedad vs Valladolid
False,0.6846335592995781,1.9917755200774072,1.3636363636363638,19:45,Betis vs Rayo Vallecano
True,1.1129836886455782,1.197981018891575,1.3333333333333333,14:30,Mainz vs Hannover
False,0.9310516299343112,1.3809269479556112,1.2857142857142856,17:00,Borussia Monchengladbach vs Stuttgart
False,0.9085910350591649,1.4150638032990974,1.2857142857142856,11:30,Sassuolo vs Fiorentina
False,0.9347639738701191,1.4263850240323803,1.3333333333333333,14:00,Empoli vs Bologna
True,1.0016472046762848,1.361393869288606,1.3636363636363638,14:00,Parma vs Chievo
True,1.0915272993378193,1.1451843675905486,1.25,14:00,Udinese vs Atalanta
True,1.1022195379737278,1.2096803652968038,1.3333333333333333,17:00,Genoa vs SPAL
False,0.8377684352533,1.5346893384990672,1.2857142857142856,19:30,AC Milan vs Torino
True,1.0603819908524763,1.4819457374650882,1.5714285714285714,14:00,RC Strasbourg vs Caen
True,1.1739794971772541,1.3385485651214128,1.5714285714285714,16:00,Lille vs Stade Reims
False,0.967496190959878,1.409448818897638,1.3636363636363638,19:30,River Plate vs Boca Juniors
True,1.1298711313706,1.1063208584537216,1.25,06:00,Newcastle Jets vs Brisbane Roar
True,1.001009625092549,1.4429875679875679,1.4444444444444444,13:30,Cer. Brugge vs Antwerp
False,0.815282032798702,1.7171971706454472,1.4,17:00,Anderlecht vs Sporting de Charleroi
False,0.9200590397717292,1.3974258500120569,1.2857142857142856,19:00,Gent vs KAS Eupen
True,1.1282465941389785,1.1817747469921385,1.3333333333333333,11:15,Utrecht vs Heracles Almelo
True,1.206492430784414,1.1302485857700582,1.3636363636363638,13:30,Emmen vs Feyenoord
False,0.8450200833395962,1.7093610825625216,1.4444444444444444,13:30,VVV Venlo vs Groningen
False,0.9849313000150988,1.4214189354917832,1.4,15:45,NAC Breda vs Vitesse
True,1.1696080240512512,1.1658917651001088,1.3636363636363638,15:00,Moreirense FC vs Santa Clara
False,0.8651631146975653,1.5411352040816326,1.3333333333333333,15:00,Nacional da Madeira vs Boavista FC
False,0.969193934557063,1.3265810276679841,1.2857142857142856,17:30,Vitoria de Guimaraes vs Rio Ave
True,1.035188275411739,1.2420100925147184,1.2857142857142856,20:00,Sporting CP vs CD Aves
True,1.0626779599927914,1.317426400759734,1.4,15:00,FC Basel vs FC Zurich
True,1.142712036566785,1.1933333333333336,1.3636363636363638,15:00,Grasshoppers Zurich vs FC Luzern
True,1.1760426140054565,1.1904330534688468,1.4,15:00,Lugano vs Sion
False,0.9328261522994166,1.4618333333333333,1.3636363636363638,01:00,Atlanta United FC vs Portland Timbers
True,1.013535893302714,1.4799673202614376,1.5,00:00,Junior vs Independiente Medellín
True,1.2772598223280516,1.1743890896575464,1.5,11:00,Vendsyssel FF vs Randers FC
False,0.8957169459962756,1.6126126126126126,1.4444444444444444,13:00,AaB vs AC Horsens
False,0.7810394447265956,1.7459250910352004,1.3636363636363638,15:00,FC Copenhagen vs Esbjerg
False,0.9795016674809354,1.361236409900532,1.3333333333333333,17:00,Vejle vs Brøndby IF
